                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7346,                 2.1107,                 1.5959,                0.11917,                0.37024,                0.12901,                0.05466,                 1.7891,                 24.429,                 2.3235,             0.00055011,             0.00055011,             0.00055011
                      1,                 1.8304,                  1.948,                 1.6672,                0.13368,                0.38393,                 0.0928,                0.03916,                  2.021,                 5.7926,                 2.1155,              0.0010985,              0.0010985,              0.0010985
                      2,                 1.8954,                 2.0549,                 1.7069,                0.17627,                0.31012,                0.13768,                0.05672,                 1.9723,                 6.7558,                 2.0841,              0.0016395,              0.0016395,              0.0016395
                      3,                 1.8543,                 2.0144,                 1.6989,                0.38019,                0.38095,                 0.2404,                0.10954,                 2.0496,                 2.8668,                 2.1077,               0.001634,               0.001634,               0.001634
                      4,                 1.8234,                 1.8232,                 1.6571,                0.47774,                0.49821,                0.44433,                0.20598,                 1.8482,                 1.7974,                 1.8965,               0.001634,               0.001634,               0.001634
                      5,                 1.7598,                 1.7633,                 1.6197,                 0.6286,                0.58848,                0.58441,                0.32082,                 1.6228,                 1.5773,                 1.7445,               0.001623,               0.001623,               0.001623
                      6,                 1.6838,                 1.6306,                 1.5617,                0.78033,                0.55465,                0.64662,                0.36423,                 1.5095,                 1.6583,                 1.5999,               0.001612,               0.001612,               0.001612
                      7,                  1.701,                 1.5874,                 1.5765,                0.64842,                0.58289,                0.61902,                0.32876,                 1.6472,                 1.4254,                 1.7299,               0.001601,               0.001601,               0.001601
                      8,                 1.7025,                 1.5703,                 1.5693,                0.72408,                0.56581,                 0.6486,                0.35383,                 1.5823,                 1.4146,                 1.6374,                0.00159,                0.00159,                0.00159
                      9,                 1.6269,                 1.4565,                 1.5147,                0.67318,                0.42873,                0.43966,                0.23105,                 1.8211,                 2.4162,                 1.8826,               0.001579,               0.001579,               0.001579
                     10,                 1.6276,                 1.4333,                  1.518,                0.73108,                0.54881,                0.65855,                0.37201,                 1.5195,                 1.2369,                  1.638,               0.001568,               0.001568,               0.001568
                     11,                 1.6086,                 1.4001,                 1.5053,                0.69648,                0.59187,                0.65078,                 0.3759,                 1.5101,                 1.2563,                 1.5776,               0.001557,               0.001557,               0.001557
                     12,                 1.5902,                 1.3643,                 1.4837,                0.75085,                0.64507,                0.73927,                0.41718,                 1.5026,                  1.239,                  1.583,               0.001546,               0.001546,               0.001546
                     13,                 1.5628,                 1.2954,                 1.4625,                0.80857,                0.63988,                0.72685,                0.42902,                 1.4688,                 1.0902,                  1.579,               0.001535,               0.001535,               0.001535
                     14,                 1.5241,                 1.3119,                 1.4736,                0.78163,                 0.6631,                0.73203,                0.42547,                 1.5494,                 1.0968,                 1.6373,               0.001524,               0.001524,               0.001524
                     15,                 1.5208,                 1.2191,                 1.4436,                0.78882,                0.69284,                0.74684,                0.42374,                 1.4911,                 1.0354,                 1.5538,               0.001513,               0.001513,               0.001513
                     16,                 1.5071,                 1.2067,                 1.4274,                0.77919,                0.71437,                0.77041,                0.45332,                  1.419,                0.98495,                 1.5255,               0.001502,               0.001502,               0.001502
                     17,                 1.4903,                 1.1872,                 1.4361,                0.71578,                0.66607,                0.70208,                0.39944,                 1.4903,                 1.0882,                 1.5825,               0.001491,               0.001491,               0.001491
                     18,                  1.501,                 1.1826,                 1.4352,                0.80423,                0.68786,                0.77399,                0.46165,                 1.4033,                0.94023,                 1.4913,                0.00148,                0.00148,                0.00148
                     19,                 1.4788,                 1.1469,                 1.4114,                 0.7761,                0.61769,                 0.7187,                0.41741,                 1.5122,                  1.145,                  1.614,               0.001469,               0.001469,               0.001469
                     20,                 1.4551,                 1.1405,                 1.3999,                 0.8084,                 0.6782,                0.77169,                0.46371,                 1.4153,                 0.9229,                 1.5213,               0.001458,               0.001458,               0.001458
                     21,                 1.4759,                  1.113,                 1.4055,                0.77896,                0.69777,                0.76263,                0.44849,                 1.4447,                 1.0046,                 1.5631,               0.001447,               0.001447,               0.001447
                     22,                 1.4707,                 1.1294,                 1.4133,                0.75094,                0.66588,                0.72907,                0.42428,                 1.4863,                 1.0417,                 1.5541,               0.001436,               0.001436,               0.001436
                     23,                 1.4659,                 1.0933,                 1.4059,                 0.8044,                0.72893,                   0.79,                0.47187,                 1.3963,                0.93276,                 1.5072,               0.001425,               0.001425,               0.001425
                     24,                 1.4521,                 1.0496,                 1.3907,                0.86433,                0.70723,                0.80118,                0.47516,                 1.4294,                0.85457,                 1.6063,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.4237,                 1.0576,                 1.3796,                0.82968,                0.71012,                0.78843,                0.47752,                 1.4018,                0.85682,                 1.5456,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.4105,                 1.0205,                 1.3823,                0.76277,                0.70002,                0.74496,                0.45609,                 1.3683,                 1.0457,                 1.4566,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.4084,                 1.0171,                 1.3545,                0.79335,                0.72262,                0.78658,                0.47961,                 1.3523,                0.90288,                 1.4529,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.4095,                 1.0073,                 1.3648,                0.83536,                0.73223,                0.80458,                  0.478,                 1.3624,                0.84845,                 1.4909,              0.0013699,              0.0013699,              0.0013699
                     29,                  1.375,                0.98247,                 1.3453,                0.79067,                0.69167,                0.77105,                0.47421,                 1.3704,                0.92819,                 1.4855,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.3632,                0.96454,                 1.3555,                0.82254,                0.72202,                0.79646,                 0.4739,                 1.3686,                 0.8717,                  1.497,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.3515,                0.97348,                 1.3449,                0.77516,                0.71786,                0.75674,                0.45433,                 1.4516,                0.91516,                 1.5729,              0.0013369,              0.0013369,              0.0013369
                     32,                  1.362,                0.97818,                 1.3313,                 0.8528,                0.70952,                0.80123,                0.48443,                  1.392,                0.83206,                 1.5161,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.3772,                0.94364,                 1.3442,                0.80405,                0.72176,                0.78503,                0.47081,                 1.3958,                0.89266,                 1.5103,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.3441,                0.93769,                 1.3311,                0.85522,                0.70476,                 0.8068,                0.49748,                 1.3526,                0.80979,                 1.4757,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.3405,                0.92117,                 1.3294,                0.85568,                0.67778,                0.78843,                0.47714,                 1.4417,                0.89997,                 1.5694,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.3188,                0.94464,                 1.3175,                0.89177,                0.72202,                0.82621,                0.50265,                 1.3469,                0.79247,                 1.4633,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.3209,                 0.9119,                 1.3255,                0.85502,                0.70837,                0.80504,                0.48174,                 1.4082,                0.88221,                 1.5619,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.2936,                0.89096,                 1.3015,                0.82052,                0.73825,                0.79448,                0.49237,                  1.365,                0.85312,                 1.5064,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.3034,                0.88906,                 1.3038,                0.85291,                0.73274,                0.81252,                0.49609,                 1.3753,                 0.8496,                 1.4874,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.2954,                0.86826,                 1.2933,                0.85208,                0.74635,                0.82702,                0.50283,                 1.3858,                0.77316,                 1.5203,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.2708,                0.83458,                 1.2862,                0.85569,                0.75946,                0.82126,                0.50277,                 1.3362,                0.76271,                 1.4634,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.2759,                0.85317,                 1.2953,                0.81318,                0.71132,                 0.7887,                0.48591,                 1.2991,                0.84308,                 1.4077,              0.0012159,              0.0012159,              0.0012159
                     43,                  1.265,                0.84692,                 1.2908,                0.85828,                0.70417,                 0.8054,                0.50697,                 1.2976,                0.82483,                 1.4524,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.2732,                0.83153,                 1.2858,                0.82118,                0.76924,                0.82548,                0.51045,                 1.3123,                0.76204,                 1.4504,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.2509,                0.82444,                 1.2816,                0.84793,                 0.7392,                0.80494,                0.50653,                 1.2599,                0.78241,                 1.4008,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.2599,                0.81372,                 1.2689,                0.86784,                0.74255,                0.82721,                 0.5108,                 1.2935,                0.75433,                 1.4265,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.2248,                0.80622,                 1.2619,                0.85883,                0.75714,                0.81974,                0.51543,                 1.3228,                 0.7707,                 1.4391,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.2367,                 0.8069,                 1.2667,                0.85572,                0.71071,                0.79472,                 0.4811,                 1.3295,                0.81966,                 1.4541,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.2227,                0.79567,                 1.2554,                0.85212,                0.76203,                0.83201,                 0.5204,                 1.3018,                0.75295,                 1.4395,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.2275,                0.79092,                 1.2473,                0.86229,                0.75302,                0.83506,                0.52228,                 1.2837,                0.72863,                 1.4224,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.2152,                0.76492,                 1.2461,                0.84366,                0.75949,                0.83246,                0.50783,                 1.3417,                0.76798,                 1.4899,              0.0011169,              0.0011169,              0.0011169
                     52,                  1.218,                0.78074,                 1.2449,                0.86525,                0.71838,                0.82649,                0.51212,                 1.3396,                0.73865,                 1.4557,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.2027,                0.76711,                 1.2385,                0.85611,                0.73409,                0.82192,                0.51004,                 1.3324,                0.71784,                 1.4839,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.2128,                 0.7627,                 1.2383,                0.83278,                0.75926,                0.81977,                0.50859,                 1.3035,                  0.737,                 1.4274,              0.0010839,              0.0010839,              0.0010839
                     55,                  1.189,                0.74038,                  1.227,                0.86873,                0.75438,                0.82729,                0.52058,                 1.2782,                0.72691,                 1.4299,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.1775,                0.74432,                  1.214,                0.86808,                0.74762,                0.82826,                0.51679,                 1.2891,                0.71573,                 1.4288,              0.0010619,              0.0010619,              0.0010619
                     57,                 1.1727,                0.73319,                 1.2255,                0.86114,                0.73881,                0.82389,                0.51523,                 1.2884,                0.76873,                 1.4239,              0.0010509,              0.0010509,              0.0010509
                     58,                 1.1864,                0.75496,                 1.2276,                0.87722,                0.75536,                0.83651,                 0.5211,                 1.2911,                0.74112,                 1.4387,              0.0010399,              0.0010399,              0.0010399
                     59,                 1.1612,                 0.7218,                 1.2086,                0.86482,                0.76102,                0.83711,                0.53052,                   1.26,                0.69877,                 1.3901,              0.0010289,              0.0010289,              0.0010289
                     60,                 1.1656,                0.72214,                 1.2197,                0.85089,                 0.7381,                0.81859,                0.51239,                 1.2957,                0.76528,                 1.4354,              0.0010179,              0.0010179,              0.0010179
                     61,                  1.175,                0.71213,                 1.2227,                0.86597,                0.74428,                0.83168,                0.52409,                 1.2587,                0.70147,                 1.3963,              0.0010069,              0.0010069,              0.0010069
                     62,                 1.1452,                0.73236,                  1.217,                 0.8781,                0.75119,                0.85515,                0.52839,                 1.2876,                0.68261,                 1.4289,             0.00099587,             0.00099587,             0.00099587
                     63,                  1.123,                0.69149,                 1.1827,                 0.8986,                0.71548,                0.82802,                0.52267,                 1.2657,                 0.7355,                 1.3994,             0.00098486,             0.00098486,             0.00098486
                     64,                 1.1275,                0.70564,                 1.1881,                0.87863,                0.74464,                0.83174,                0.53366,                 1.2458,                0.70658,                 1.4058,             0.00097386,             0.00097386,             0.00097386
                     65,                 1.1087,                0.68074,                 1.1967,                0.83696,                0.76861,                0.82359,                0.52641,                  1.265,                 0.7328,                 1.4147,             0.00096286,             0.00096286,             0.00096286
                     66,                 1.1113,                0.67999,                   1.18,                0.86813,                0.76131,                0.84525,                 0.5366,                 1.2655,                0.66868,                 1.4114,             0.00095186,             0.00095186,             0.00095186
                     67,                 1.0986,                0.67471,                 1.1747,                0.84033,                 0.7722,                0.83704,                 0.5314,                   1.25,                0.71129,                 1.3957,             0.00094085,             0.00094085,             0.00094085
                     68,                 1.0929,                0.67623,                 1.1762,                0.87219,                0.74055,                 0.8352,                0.53169,                 1.2524,                0.71383,                 1.3906,             0.00092985,             0.00092985,             0.00092985
                     69,                 1.0758,                0.66479,                 1.1629,                0.87451,                0.77381,                 0.8459,                0.52474,                  1.325,                0.69684,                 1.4996,             0.00091885,             0.00091885,             0.00091885
                     70,                 1.0777,                0.66003,                 1.1683,                0.85072,                0.75409,                0.81598,                0.51987,                 1.2559,                0.72696,                 1.4051,             0.00090785,             0.00090785,             0.00090785
                     71,                 1.0579,                0.66372,                 1.1648,                 0.8705,                 0.7629,                0.84363,                0.53477,                 1.2454,                0.66623,                 1.4111,             0.00089685,             0.00089685,             0.00089685
                     72,                 1.0429,                0.65979,                  1.155,                0.86455,                0.75685,                0.84659,                 0.5401,                 1.2377,                0.65875,                  1.391,             0.00088584,             0.00088584,             0.00088584
                     73,                 1.0413,                0.64283,                  1.149,                0.84673,                0.77883,                0.84637,                0.53636,                 1.2592,                0.67885,                 1.4058,             0.00087484,             0.00087484,             0.00087484
                     74,                 1.0425,                0.63171,                 1.1505,                0.85972,                0.75277,                0.83452,                0.52749,                  1.262,                0.70328,                 1.4077,             0.00086384,             0.00086384,             0.00086384
                     75,                 1.0654,                0.65393,                 1.1521,                0.87995,                0.73753,                0.82822,                0.53226,                 1.2452,                0.68723,                 1.3885,             0.00085284,             0.00085284,             0.00085284
                     76,                 1.0462,                0.63477,                 1.1536,                0.91397,                0.72679,                0.84352,                0.53505,                 1.2472,                0.69887,                 1.4013,             0.00084184,             0.00084184,             0.00084184
                     77,                 1.0353,                0.62419,                 1.1375,                0.86308,                0.74769,                0.82952,                0.53374,                 1.2381,                0.71335,                 1.3745,             0.00083083,             0.00083083,             0.00083083
                     78,                 1.0325,                0.63154,                 1.1537,                0.89767,                0.74748,                0.83866,                0.53977,                 1.2262,                0.66572,                 1.3648,             0.00081983,             0.00081983,             0.00081983
                     79,                 1.0484,                0.64081,                 1.1455,                0.85639,                0.75355,                0.83181,                0.53202,                 1.2494,                0.68198,                 1.4107,             0.00080883,             0.00080883,             0.00080883
                     80,                 1.0267,                0.60404,                 1.1274,                0.89077,                0.74345,                0.85123,                0.54821,                 1.2403,                0.66714,                 1.4016,             0.00079783,             0.00079783,             0.00079783
                     81,                 1.0094,                0.60981,                 1.1291,                0.87497,                 0.7455,                0.83305,                0.53719,                 1.2659,                0.71239,                 1.4417,             0.00078682,             0.00078682,             0.00078682
                     82,                0.99959,                0.61101,                 1.1219,                 0.8564,                0.77816,                0.84602,                 0.5436,                 1.2506,                0.67054,                 1.4369,             0.00077582,             0.00077582,             0.00077582
                     83,                 1.0003,                0.59496,                 1.1245,                0.90087,                0.72054,                0.83063,                0.53097,                 1.2394,                0.65949,                 1.3908,             0.00076482,             0.00076482,             0.00076482
                     84,                0.98551,                0.58997,                 1.1182,                0.86103,                0.78263,                0.84066,                0.53251,                 1.2452,                0.68381,                 1.4208,             0.00075382,             0.00075382,             0.00075382
                     85,                0.97231,                0.58025,                 1.1061,                0.87845,                0.75577,                0.84678,                0.54048,                 1.2501,                0.66352,                  1.437,             0.00074282,             0.00074282,             0.00074282
                     86,                0.98683,                0.59428,                 1.1089,                 0.8633,                0.76495,                0.84704,                 0.5414,                 1.2296,                0.65372,                 1.3998,             0.00073181,             0.00073181,             0.00073181
                     87,                0.97575,                0.59093,                 1.1094,                0.84629,                0.78694,                 0.8457,                0.53318,                 1.2708,                0.65619,                 1.4413,             0.00072081,             0.00072081,             0.00072081
                     88,                0.97624,                0.58687,                 1.1116,                0.87062,                0.78195,                0.84905,                0.53523,                 1.2577,                0.63698,                 1.4117,             0.00070981,             0.00070981,             0.00070981
                     89,                0.95663,                0.55938,                 1.0966,                0.87963,                0.75179,                 0.8317,                0.53187,                 1.2559,                0.67095,                  1.423,             0.00069881,             0.00069881,             0.00069881
                     90,                0.95571,                 0.5814,                 1.1004,                0.86317,                0.77024,                0.83535,                0.53283,                 1.2346,                0.65552,                 1.4109,              0.0006878,              0.0006878,              0.0006878
                     91,                0.95791,                0.57243,                 1.1004,                0.88131,                0.73758,                0.82249,                0.53673,                 1.2036,                0.67029,                 1.3609,              0.0006768,              0.0006768,              0.0006768
                     92,                0.95733,                 0.5729,                 1.1058,                0.85931,                0.76369,                0.83749,                0.53915,                 1.2109,                0.65988,                  1.385,              0.0006658,              0.0006658,              0.0006658
                     93,                0.93146,                0.54624,                 1.0869,                0.88442,                0.75219,                0.83935,                 0.5388,                 1.2147,                0.67239,                 1.3899,              0.0006548,              0.0006548,              0.0006548
                     94,                0.93627,                0.56081,                   1.09,                0.85442,                0.76905,                0.83142,                0.53151,                 1.2606,                0.66049,                 1.4324,              0.0006438,              0.0006438,              0.0006438
                     95,                0.93945,                 0.5438,                 1.0773,                0.85972,                0.78036,                0.83648,                0.53965,                 1.2178,                0.65008,                 1.3939,             0.00063279,             0.00063279,             0.00063279
                     96,                0.95048,                0.56785,                 1.0807,                0.86425,                0.75628,                0.83933,                0.53649,                 1.2366,                0.65206,                 1.4205,             0.00062179,             0.00062179,             0.00062179
                     97,                0.93438,                0.54859,                 1.0898,                0.87702,                0.74555,                 0.8382,                0.54077,                 1.2039,                0.65276,                 1.3554,             0.00061079,             0.00061079,             0.00061079
                     98,                0.91511,                0.54433,                 1.0719,                0.87668,                0.75119,                0.84762,                0.54656,                 1.2171,                0.65279,                 1.3848,             0.00059979,             0.00059979,             0.00059979
                     99,                0.90811,                0.53063,                 1.0629,                0.88019,                 0.7536,                0.84976,                0.54878,                 1.1933,                0.65083,                 1.3773,             0.00058878,             0.00058878,             0.00058878
                    100,                0.91509,                0.54101,                 1.0839,                0.87101,                0.76726,                0.85114,                0.54539,                 1.2288,                0.64759,                 1.4399,             0.00057778,             0.00057778,             0.00057778
                    101,                0.88883,                0.53564,                 1.0689,                0.85968,                0.77919,                0.84527,                0.54494,                 1.2066,                 0.6491,                 1.3909,             0.00056678,             0.00056678,             0.00056678
                    102,                0.88675,                0.51762,                 1.0664,                0.86455,                0.77184,                0.84609,                 0.5468,                 1.2273,                0.65556,                 1.4248,             0.00055578,             0.00055578,             0.00055578
                    103,                 0.8954,                0.54331,                 1.0661,                0.85581,                  0.775,                0.84409,                0.54509,                 1.2094,                0.65316,                 1.3961,             0.00054478,             0.00054478,             0.00054478
                    104,                0.87791,                0.51249,                 1.0618,                 0.8767,                0.77089,                0.85347,                0.55203,                 1.1871,                 0.6324,                 1.3718,             0.00053377,             0.00053377,             0.00053377
                    105,                0.87772,                0.51345,                 1.0647,                0.84818,                0.78003,                0.83914,                 0.5386,                 1.2109,                0.65441,                 1.4112,             0.00052277,             0.00052277,             0.00052277
                    106,                0.87444,                0.52738,                  1.057,                0.88461,                0.76005,                 0.8463,                0.55392,                 1.2138,                0.62713,                 1.4065,             0.00051177,             0.00051177,             0.00051177
                    107,                0.88454,                0.51328,                 1.0629,                 0.8854,                0.76667,                0.84638,                0.54683,                 1.2227,                0.62454,                 1.4097,             0.00050077,             0.00050077,             0.00050077
                    108,                0.87337,                0.51532,                 1.0568,                0.87068,                0.75536,                0.84229,                0.54893,                 1.2112,                0.64733,                 1.4008,             0.00048976,             0.00048976,             0.00048976
                    109,                0.83162,                0.49143,                 1.0389,                0.89357,                0.75443,                0.84062,                0.55175,                 1.2077,                0.64721,                 1.4085,             0.00047876,             0.00047876,             0.00047876
                    110,                0.85114,                0.49827,                 1.0384,                0.85098,                0.77649,                0.83733,                 0.5434,                 1.2211,                0.66361,                 1.4262,             0.00046776,             0.00046776,             0.00046776
                    111,                0.85966,                0.50283,                 1.0487,                0.87052,                0.77777,                0.84156,                0.54114,                 1.2213,                0.66307,                  1.415,             0.00045676,             0.00045676,             0.00045676
                    112,                0.84204,                0.48724,                 1.0423,                0.88031,                0.77494,                0.85133,                0.55322,                 1.2156,                0.63317,                 1.4327,             0.00044576,             0.00044576,             0.00044576
                    113,                0.82986,                 0.4884,                 1.0397,                0.85314,                0.79286,                0.84723,                0.55455,                 1.1854,                0.64302,                 1.3731,             0.00043475,             0.00043475,             0.00043475
                    114,                0.82926,                0.49883,                 1.0356,                0.87312,                0.76845,                0.84512,                0.55371,                 1.2028,                0.63771,                 1.4073,             0.00042375,             0.00042375,             0.00042375
                    115,                0.81046,                0.47311,                 1.0262,                0.89293,                 0.7633,                 0.8504,                0.55693,                  1.193,                0.62783,                  1.395,             0.00041275,             0.00041275,             0.00041275
                    116,                0.82256,                0.48314,                 1.0261,                0.88788,                0.77324,                0.84966,                0.55325,                 1.2145,                0.64246,                 1.4128,             0.00040175,             0.00040175,             0.00040175
                    117,                0.81086,                0.47939,                 1.0325,                0.87185,                0.76905,                0.84719,                0.55331,                 1.2126,                0.65203,                 1.4264,             0.00039074,             0.00039074,             0.00039074
                    118,                0.80075,                0.47403,                  1.021,                0.86378,                0.78423,                0.85043,                0.56004,                 1.1754,                0.65823,                 1.3768,             0.00037974,             0.00037974,             0.00037974
                    119,                0.80696,                 0.4751,                 1.0233,                0.90314,                0.76833,                0.85095,                0.55475,                 1.1998,                0.64489,                 1.4101,             0.00036874,             0.00036874,             0.00036874
                    120,                0.80655,                0.46799,                 1.0236,                0.85167,                0.81241,                0.85741,                0.55601,                 1.1852,                0.63938,                 1.3813,             0.00035774,             0.00035774,             0.00035774
                    121,                0.80525,                0.47494,                  1.019,                0.89387,                0.76186,                0.84767,                0.55859,                  1.189,                0.65032,                 1.3896,             0.00034674,             0.00034674,             0.00034674
                    122,                 0.8027,                0.46995,                 1.0229,                0.88926,                0.76493,                0.85235,                0.55151,                 1.1995,                0.64637,                 1.3923,             0.00033573,             0.00033573,             0.00033573
                    123,                0.80718,                0.47212,                 1.0194,                 0.9118,                0.75454,                0.84919,                0.55069,                  1.204,                0.66459,                 1.3882,             0.00032473,             0.00032473,             0.00032473
                    124,                 0.7729,                0.45399,                  1.007,                0.87422,                0.77881,                0.85596,                0.55334,                 1.1877,                0.63625,                 1.3856,             0.00031373,             0.00031373,             0.00031373
                    125,                0.76908,                0.45271,                 1.0095,                0.84869,                0.79303,                0.85214,                 0.5516,                  1.187,                0.63187,                 1.3873,             0.00030273,             0.00030273,             0.00030273
                    126,                0.75637,                0.44516,                0.99721,                0.87982,                0.76752,                0.84958,                0.56272,                 1.1854,                 0.6468,                 1.3875,             0.00029172,             0.00029172,             0.00029172
                    127,                0.76455,                0.45407,                 1.0059,                0.85956,                0.77934,                0.84831,                0.56138,                 1.1791,                0.66039,                 1.3948,             0.00028072,             0.00028072,             0.00028072
                    128,                 0.7633,                0.45152,                 1.0038,                0.86269,                0.77964,                0.84904,                0.55706,                 1.1922,                  0.642,                 1.4169,             0.00026972,             0.00026972,             0.00026972
                    129,                0.75999,                0.45221,                 1.0008,                0.88217,                0.78036,                0.85242,                0.55704,                 1.2017,                0.64062,                 1.4149,             0.00025872,             0.00025872,             0.00025872
                    130,                0.75302,                0.43898,                 1.0002,                0.84467,                0.79656,                0.84548,                0.55762,                 1.1854,                0.64816,                 1.3772,             0.00024772,             0.00024772,             0.00024772
                    131,                0.73567,                0.43144,                0.99476,                0.90825,                0.73676,                0.83745,                0.55401,                 1.1811,                0.65212,                 1.3779,             0.00023671,             0.00023671,             0.00023671
                    132,                 0.7438,                0.43623,                0.99512,                0.91109,                0.73629,                 0.8455,                0.55859,                 1.1933,                0.66574,                 1.4083,             0.00022571,             0.00022571,             0.00022571
                    133,                0.74905,                0.43865,                0.98554,                0.86919,                0.77893,                0.84888,                0.55598,                 1.2015,                0.63999,                 1.4204,             0.00021471,             0.00021471,             0.00021471
                    134,                0.73907,                0.43264,                0.99741,                0.86299,                0.78055,                0.84469,                0.55738,                 1.1851,                0.62377,                 1.3992,             0.00020371,             0.00020371,             0.00020371
                    135,                0.74348,                0.43689,                0.99768,                0.91356,                0.74489,                0.84625,                0.55473,                 1.1921,                0.62574,                 1.4078,             0.00019271,             0.00019271,             0.00019271
                    136,                0.73896,                0.43391,                0.99204,                0.87739,                0.77024,                0.84982,                0.55696,                 1.1816,                0.64931,                 1.3904,              0.0001817,              0.0001817,              0.0001817
                    137,                0.73466,                0.42326,                0.99191,                  0.864,                0.78041,                0.84503,                0.55905,                 1.1771,                0.65889,                 1.3915,              0.0001707,              0.0001707,              0.0001707
                    138,                0.71962,                0.42273,                0.98323,                 0.8839,                0.76317,                0.84631,                0.55844,                 1.1805,                0.64012,                 1.4095,              0.0001597,              0.0001597,              0.0001597
                    139,                0.72557,                0.42576,                0.99024,                0.86269,                0.78153,                0.84868,                0.55873,                 1.1771,                0.64228,                  1.399,              0.0001487,              0.0001487,              0.0001487
                    140,                0.71917,                0.42588,                0.98386,                0.86562,                0.78036,                0.84311,                0.56108,                 1.1824,                0.63379,                 1.3998,             0.00013769,             0.00013769,             0.00013769
                    141,                0.71014,                0.41295,                0.97672,                0.86494,                0.79286,                0.84989,                 0.5594,                 1.1758,                0.63552,                 1.4039,             0.00012669,             0.00012669,             0.00012669
                    142,                0.70997,                0.41478,                0.98034,                0.86688,                0.77984,                0.84682,                0.55936,                 1.1861,                0.62594,                 1.4051,             0.00011569,             0.00011569,             0.00011569
                    143,                0.70583,                0.41877,                0.97255,                0.86698,                0.77857,                0.84717,                0.55539,                 1.1868,                0.63203,                 1.4082,             0.00010469,             0.00010469,             0.00010469
                    144,                0.70972,                0.41579,                0.97807,                 0.8854,                0.75774,                0.84623,                0.55532,                 1.1819,                0.63856,                 1.4013,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    145,                0.69683,                0.41084,                0.96728,                0.87944,                0.76667,                0.84653,                0.55465,                 1.1825,                0.64478,                  1.405,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    146,                0.68895,                0.40896,                0.97671,                0.86057,                0.78199,                0.84483,                0.55645,                 1.1774,                 0.6373,                 1.3994,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    147,                 0.6849,                0.40595,                0.96424,                0.86003,                0.77857,                0.84334,                0.55813,                 1.1708,                0.63456,                 1.3902,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    148,                 0.6999,                0.40579,                0.97087,                  0.872,                0.77028,                0.84813,                0.55659,                 1.1754,                0.63493,                 1.3916,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    149,                0.68757,                0.40382,                0.97098,                0.86653,                0.77442,                0.84853,                0.56008,                  1.173,                0.63127,                 1.3914,             3.8674e-05,             3.8674e-05,             3.8674e-05
